geometry,severity,area_sqm,centroid_lat,centroid_lon
"POLYGON ((401684.3626693955 3487289.2259684554, 401684.3626693955 3487279.2259684554, 401724.3626693955 3487279.2259684554, 401724.3626693955 3487289.2259684554, 401684.3626693955 3487289.2259684554))",High,400.0,31.516270722250194,73.96476675650916
"POLYGON ((401854.3626693955 3487289.2259684554, 401854.3626693955 3487279.2259684554, 401904.3626693955 3487279.2259684554, 401904.3626693955 3487289.2259684554, 401854.3626693955 3487289.2259684554))",High,500.0,31.51628562114319,73.96660957190232
"POLYGON ((401914.3626693955 3487289.2259684554, 401914.3626693955 3487279.2259684554, 401934.3626693955 3487279.2259684554, 401934.3626693955 3487289.2259684554, 401914.3626693955 3487289.2259684554))",High,200.0,31.516289448250465,73.96708343892053
"POLYGON ((401994.3626693955 3487289.2259684554, 401994.3626693955 3487279.2259684554, 402014.3626693955 3487279.2259684554, 402014.3626693955 3487289.2259684554, 401994.3626693955 3487289.2259684554))",High,200.0,31.51629624726002,73.96792586942657
"POLYGON ((401744.3626693955 3487289.2259684554, 401744.3626693955 3487279.2259684554, 401794.3626693955 3487279.2259684554, 401794.3626693955 3487269.2259684554, 401814.3626693955 3487269.2259684554, 401814.3626693955 3487279.2259684554, 401844.3626693955 3487279.2259684554, 401844.3626693955 3487289.2259684554, 401744.3626693955 3487289.2259684554))",High,1200.0,31.516263494188046,73.96573220619199
"POLYGON ((402124.3626693955 3487279.2259684554, 402124.3626693955 3487249.2259684554, 402134.3626693955 3487249.2259684554, 402134.3626693955 3487279.2259684554, 402124.3626693955 3487279.2259684554))",High,300.0,31.516126439006083,73.96924414845482
"POLYGON ((402074.3626693955 3487269.2259684554, 402074.3626693955 3487249.2259684554, 402084.3626693955 3487249.2259684554, 402084.3626693955 3487259.2259684554, 402094.3626693955 3487259.2259684554, 402094.3626693955 3487269.2259684554, 402074.3626693955 3487269.2259684554))",High,300.0,31.516092408503603,73.96875306162346
"POLYGON ((401694.3626693955 3487249.2259684554, 401694.3626693955 3487239.2259684554, 401714.3626693955 3487239.2259684554, 401714.3626693955 3487249.2259684554, 401694.3626693955 3487249.2259684554))",High,200.0,31.515909881496086,73.9647707352747
"POLYGON ((401794.3626693955 3487259.2259684554, 401794.3626693955 3487239.2259684554, 401814.3626693955 3487239.2259684554, 401814.3626693955 3487229.2259684554, 401834.3626693955 3487229.2259684554, 401834.3626693955 3487239.2259684554, 401824.3626693955 3487239.2259684554, 401824.3626693955 3487249.2259684554, 401814.3626693955 3487249.2259684554, 401814.3626693955 3487259.2259684554, 401794.3626693955 3487259.2259684554))",High,700.0,31.515919067155934,73.96590650666181
"POLYGON ((401764.3626693955 3487259.2259684554, 401764.3626693955 3487249.2259684554, 401754.3626693955 3487249.2259684554, 401754.3626693955 3487229.2259684554, 401764.3626693955 3487229.2259684554, 401764.3626693955 3487239.2259684554, 401774.3626693955 3487239.2259684554, 401774.3626693955 3487259.2259684554, 401764.3626693955 3487259.2259684554))",High,400.0,31.5159149927047,73.96540255515889
"POLYGON ((401724.3626693955 3487239.2259684554, 401724.3626693955 3487229.2259684554, 401744.3626693955 3487229.2259684554, 401744.3626693955 3487239.2259684554, 401724.3626693955 3487239.2259684554))",High,200.0,31.515822227224163,73.96508763955218
"POLYGON ((401344.3626693955 3487289.2259684554, 401344.3626693955 3487279.2259684554, 401324.3626693955 3487279.2259684554, 401324.3626693955 3487259.2259684554, 401334.3626693955 3487259.2259684554, 401334.3626693955 3487229.2259684554, 401344.3626693955 3487229.2259684554, 401344.3626693955 3487219.2259684554, 401394.3626693955 3487219.2259684554, 401394.3626693955 3487229.2259684554, 401404.3626693955 3487229.2259684554, 401404.3626693955 3487239.2259684554, 401434.3626693955 3487239.2259684554, 401434.3626693955 3487279.2259684554, 401424.3626693955 3487279.2259684554, 401424.3626693955 3487289.2259684554, 401394.3626693955 3487289.2259684554, 401394.3626693955 3487269.2259684554, 401404.3626693955 3487269.2259684554, 401404.3626693955 3487279.2259684554, 401414.3626693955 3487279.2259684554, 401414.3626693955 3487259.2259684554, 401404.3626693955 3487259.2259684554, 401404.3626693955 3487249.2259684554, 401384.3626693955 3487249.2259684554, 401384.3626693955 3487259.2259684554, 401374.3626693955 3487259.2259684554, 401374.3626693955 3487289.2259684554, 401344.3626693955 3487289.2259684554))",High,5100.0,31.515975688398434,73.96132256640762
"POLYGON ((402124.3626693955 3487229.2259684554, 402124.3626693955 3487209.2259684554, 402134.3626693955 3487209.2259684554, 402134.3626693955 3487229.2259684554, 402124.3626693955 3487229.2259684554))",High,200.0,31.51572049239156,73.96924860519222
"POLYGON ((401354.3626693955 3487199.2259684554, 401354.3626693955 3487179.2259684554, 401364.3626693955 3487179.2259684554, 401364.3626693955 3487159.2259684554, 401374.3626693955 3487159.2259684554, 401374.3626693955 3487169.2259684554, 401384.3626693955 3487169.2259684554, 401384.3626693955 3487189.2259684554, 401374.3626693955 3487189.2259684554, 401374.3626693955 3487199.2259684554, 401354.3626693955 3487199.2259684554))",High,800.0,31.515317473737575,73.96124931529377
"POLYGON ((402054.3626693955 3487199.2259684554, 402054.3626693955 3487189.2259684554, 402044.3626693955 3487189.2259684554, 402044.3626693955 3487159.2259684554, 402054.3626693955 3487159.2259684554, 402054.3626693955 3487179.2259684554, 402064.3626693955 3487179.2259684554, 402064.3626693955 3487199.2259684554, 402054.3626693955 3487199.2259684554))",High,500.0,31.515362221600565,73.96845216627659
"POLYGON ((401494.3626693955 3487189.2259684554, 401494.3626693955 3487169.2259684554, 401484.3626693955 3487169.2259684554, 401484.3626693955 3487159.2259684554, 401504.3626693955 3487159.2259684554, 401504.3626693955 3487189.2259684554, 401494.3626693955 3487189.2259684554))",High,400.0,31.515238157779308,73.96259291950302
"POLYGON ((402294.3626693955 3487269.2259684554, 402294.3626693955 3487219.2259684554, 402304.3626693955 3487219.2259684554, 402304.3626693955 3487179.2259684554, 402314.3626693955 3487179.2259684554, 402314.3626693955 3487159.2259684554, 402344.3626693955 3487159.2259684554, 402344.3626693955 3487149.2259684554, 402374.3626693955 3487149.2259684554, 402374.3626693955 3487169.2259684554, 402364.3626693955 3487169.2259684554, 402364.3626693955 3487159.2259684554, 402354.3626693955 3487159.2259684554, 402354.3626693955 3487169.2259684554, 402344.3626693955 3487169.2259684554, 402344.3626693955 3487199.2259684554, 402334.3626693955 3487199.2259684554, 402334.3626693955 3487219.2259684554, 402324.3626693955 3487219.2259684554, 402324.3626693955 3487239.2259684554, 402314.3626693955 3487239.2259684554, 402314.3626693955 3487269.2259684554, 402294.3626693955 3487269.2259684554))",High,3700.0,31.51558212021993,73.97129375327113
